Symbol,Industry,Sector
ABX,Basic Materials,Metals & Mining
AEM,Basic Materials,Metals & Mining
AGI,Basic Materials,Metals & Mining
AR,Basic Materials,Metals & Mining
ASR,Basic Materials,Metals & Mining
BTO,Basic Materials,Metals & Mining
CAS,Basic Materials,Forest Products
CCO,Basic Materials,Metals & Mining
CFP,Basic Materials,Forest Products
CG,Basic Materials,Metals & Mining
CHE.UN,Basic Materials,Chemicals
CNL,Basic Materials,Metals & Mining
DGC,Basic Materials,Metals & Mining
DPM,Basic Materials,Metals & Mining
EDR,Basic Materials,Metals & Mining
EDV,Basic Materials,Metals & Mining
ELD,Basic Materials,Metals & Mining
FM,Basic Materials,Metals & Mining
FNV,Basic Materials,Metals & Mining
FR,Basic Materials,Metals & Mining
FVI,Basic Materials,Metals & Mining
G,Basic Materials,Metals & Mining
GUY,Basic Materials,Metals & Mining
HBM,Basic Materials,Metals & Mining
IFP,Basic Materials,Forest Products
IMG,Basic Materials,Metals & Mining
IVN,Basic Materials,Metals & Mining
K,Basic Materials,Metals & Mining
KDX,Basic Materials,Metals & Mining
KL,Basic Materials,Metals & Mining
LAC,Basic Materials,Metals & Mining
LIF,Basic Materials,Steel
LUN,Basic Materials,Metals & Mining
MAG,Basic Materials,Metals & Mining
MDI,Basic Materials,Metals & Mining
MUX,Basic Materials,Metals & Mining
MX,Basic Materials,Chemicals
NG,Basic Materials,Metals & Mining
NGD,Basic Materials,Metals & Mining
NSU,Basic Materials,Metals & Mining
NTR,Basic Materials,Agriculture
OGC,Basic Materials,Metals & Mining
OR,Basic Materials,Metals & Mining
OSB,Basic Materials,Forest Products
OSK,Basic Materials,Metals & Mining
PAAS,Basic Materials,Metals & Mining
PG,Basic Materials,Metals & Mining
PVG,Basic Materials,Metals & Mining
RFP,Basic Materials,Forest Products
RUS,Basic Materials,Steel
SEA,Basic Materials,Metals & Mining
SJ,Basic Materials,Forest Products
SMF,Basic Materials,Metals & Mining
SSL,Basic Materials,Metals & Mining
SSRM,Basic Materials,Metals & Mining
SVM,Basic Materials,Metals & Mining
TECK.B,Basic Materials,Metals & Mining
THO,Basic Materials,Metals & Mining
TRQ,Basic Materials,Metals & Mining
TXG,Basic Materials,Metals & Mining
U,Basic Materials,Metals & Mining
UFS,Basic Materials,Forest Products
WFT,Basic Materials,Forest Products
WPM,Basic Materials,Metals & Mining
WTE,Basic Materials,Coal
BCE,Communication Services,Communication Services
CCA,Communication Services,Communication Services
QBR.B,Communication Services,Communication Services
RCI.B,Communication Services,Communication Services
SJR.B,Communication Services,Communication Services
T,Communication Services,Communication Services
ACQ,Consumer Cyclical,Autos
ATZ,Consumer Cyclical,Retail - Apparel & Specialty
CCL.B,Consumer Cyclical,Packaging & Containers
CGX,Consumer Cyclical,Entertainment
CJR.B,Consumer Cyclical,Entertainment
CTC.A,Consumer Cyclical,Retail - Apparel & Specialty
DHX.B,Consumer Cyclical,Entertainment
DOO,Consumer Cyclical,Autos
GC,Consumer Cyclical,Travel & Leisure
GIL,Consumer Cyclical,Manufacturing - Apparel & Furniture
GOOS,Consumer Cyclical,Manufacturing - Apparel & Furniture
HBC,Consumer Cyclical,Retail - Apparel & Specialty
ITP,Consumer Cyclical,Packaging & Containers
LNR,Consumer Cyclical,Autos
MG,Consumer Cyclical,Autos
MRE,Consumer Cyclical,Autos
NFI,Consumer Cyclical,Autos
QSR,Consumer Cyclical,Restaurants
TCL.A,Consumer Cyclical,Publishing
TSGI,Consumer Cyclical,Travel & Leisure
UNS,Consumer Cyclical,Autos
WPK,Consumer Cyclical,Packaging & Containers
WPRT,Consumer Cyclical,Autos
ZZZ,Consumer Cyclical,Retail - Apparel & Specialty
BCB,Consumer Defensive,Beverages - Non-Alcoholic
DOL,Consumer Defensive,Retail - Defensive
EMP.A,Consumer Defensive,Retail - Defensive
JWEL,Consumer Defensive,Consumer Packaged Goods
L,Consumer Defensive,Retail - Defensive
MFI,Consumer Defensive,Consumer Packaged Goods
MRU,Consumer Defensive,Retail - Defensive
NWC,Consumer Defensive,Retail - Defensive
PBH,Consumer Defensive,Consumer Packaged Goods
SAP,Consumer Defensive,Consumer Packaged Goods
SOY,Consumer Defensive,Consumer Packaged Goods
WN,Consumer Defensive,Retail - Defensive
AAV,Energy,Oil & Gas - E&P
ALA,Energy,Oil & Gas - Midstream
